Titel,Link,Description
BERD@NFDI,https://www.berd-nfdi.de/,"NFDI for Business, Economic and Related Data (Social and Behavioural Sciences)"
DAPHNE4NFDI,https://www.sni-portal.de/de/daphne-nfdi/daphne-nfdi,DAta from PHoton and Neutron Experiments for NFDI (Physics)
FAIRmat,https://www.fair-di.eu/fairmat/fairmat_/consortium,FAIR Data Infrastructure for Condensed-Matter Physics and the Chemical Physics of Solids (Physics)
MaRDI,https://www.mardi4nfdi.de/,Mathematical Research Data Initiative (Mathematics)
NFDI4DataScience,,"NFDI for Data Science and Artificial Intelligence (Computer Science, Systems and Electrical Engineering)"
NFDI4Earth,https://www.nfdi4earth.de/,NFDI Consortium Earth System Sciences (Geosciences)
NFDI4Microbiota,https://nfdi4microbiota.de/,National Research Data Infrastructure for Microbiota Research (Life Sciences)
NFDI-MatWerk,https://nfdi-matwerk.de/,National Research Data Infrastructure for Materials Science & Engineering (Materials Science and Engineering)
PUNCH4NFDI,https://www.punch4nfdi.de/,"Particles, Universe, NuClei and Hadrons for the NFDI (Physics)"
Text+,https://www.text-plus.org/,Language and Text Based Research Data Infrastructure (Humanities)
