GEPRIS,Title,Description
https://gepris.dfg.de/gepris/projekt/441914366,GHGA,German Human Genome-Phenome Archive
https://gepris.dfg.de/gepris/projekt/441926934,NFDI4Cat,NFDI for Catalysis-Related Sciences
https://gepris.dfg.de/gepris/projekt/441958017,NFDI4Culture,Consortium for research data on material and immaterial cultural heritage
https://gepris.dfg.de/gepris/projekt/441958208,NFDI4Chem,Chemistry Consortium in the NFDI
https://gepris.dfg.de/gepris/projekt/442032008,NFDI4BioDiversity,"Biodiversity, Ecology & Environmental Data"
https://gepris.dfg.de/gepris/projekt/442077441,DataPLANT,Data in PLANT research
https://gepris.dfg.de/gepris/projekt/442146713,NFDI4Ing,National Research Data Infrastructure for Engineering Services
https://gepris.dfg.de/gepris/projekt/442326535,NFDI4Health,National Research Data Infrastructure for Personal Health Data
https://gepris.dfg.de/gepris/projekt/442494171,KonsortSWD,"Consortium for the Social, Behavioural, Educational, and Economic Sciences"
https://gepris.dfg.de/gepris/projekt/460033370,Text+,
https://gepris.dfg.de/gepris/projekt/460036893,NFDI4Earth,NFDI Consortium Earth System Sciences
https://gepris.dfg.de/gepris/projekt/460037581,BERD@NFDI,"NFDI for Business, Economic and Related Data"
https://gepris.dfg.de/gepris/projekt/460129525,NFDI4Microbiota,National Research Data Infrastructure for Microbiota Research
https://gepris.dfg.de/gepris/projekt/460135501,MaRDI,Mathematical Research Data Initiative
https://gepris.dfg.de/gepris/projekt/460197019,FAIRmat,FAIR Data Infrastructure for Condensed-Matter Physics and the Chemical Physics of Solids
https://gepris.dfg.de/gepris/projekt/460234259,NFDI4DS,NFDI for Data Science and Artificial Intelligence
https://gepris.dfg.de/gepris/projekt/460247524,NFDI-MatWerk,National Research Data Infrastructure for Materials Science & Engineering
https://gepris.dfg.de/gepris/projekt/460248186,PUNCH4NFDI,"Particles, Universe, NuClei and Hadrons for the NFDI"
https://gepris.dfg.de/gepris/projekt/460248799,DAPHNE4NFDI,DAta from PHoton and Neutron Experiments for NFDI
